unixtime,time,ppfdred1_3,ppfdblue1_3,ppfd1_3,ppfdred2_3,ppfdblue2_3,ppfd2_3,ppfdred3_3,ppfdblue3_3,ppfd3_3,ppfdred4_3,ppfdblue4_3,ppfd4_3,ppfdred5_3,ppfdblue5_3,ppfd5_3,ppfdred6_3,ppfdblue6_3,ppfd6_3,ppfdred7_3,ppfdblue7_3,ppfd7_3,temp_1_3,humd_1_3,temp_2_3,humd_2_3,temp_3_3,humd_3_3,tmp1_3,tmp2_3,tmp3_3,ec_3,ph_3,watertemp_3,waterlevel_3
1533470400,05-08-18 20:00,100.81818181818181,28.545454545454547,129.36363636363637,122.81818181818181,48.18181818181818,171.0,126.0909090909091,53.18181818181818,179.27272727272728,122.45454545454545,49.27272727272727,171.72727272727272,111.0909090909091,41.36363636363637,152.45454545454547,101.45454545454545,47.0,148.45454545454547,123.9090909090909,47.81818181818182,171.72727272727272,23.899999618530273,92.05454462224787,24.399999618530273,69.33636474609375,23.79999923706055,71.2818173495206,,33.6875,32.46590909090909,6.798890058590715,2001.7733291993814,24.05090909090909,1.0
1533484800,06-08-18 00:00,100.81818181818181,28.545454545454547,129.36363636363637,122.81818181818181,48.18181818181818,171.0,126.0909090909091,53.18181818181818,179.27272727272728,122.45454545454545,49.27272727272727,171.72727272727272,111.0909090909091,41.36363636363637,152.45454545454547,101.45454545454545,47.0,148.45454545454547,123.9090909090909,47.81818181818182,171.72727272727272,23.899999618530273,92.05454462224787,24.399999618530273,69.33636474609375,23.79999923706055,71.2818173495206,,33.6875,32.46590909090909,6.798890058590715,2001.7733291993814,24.05090909090909,1.0
1533499200,06-08-18 04:00,100.81818181818181,28.545454545454547,129.36363636363637,122.81818181818181,48.18181818181818,171.0,126.0909090909091,53.18181818181818,179.27272727272728,122.45454545454545,49.27272727272727,171.72727272727272,111.0909090909091,41.36363636363637,152.45454545454547,101.45454545454545,47.0,148.45454545454547,123.9090909090909,47.81818181818182,171.72727272727272,23.899999618530273,92.05454462224787,24.399999618530273,69.33636474609375,23.79999923706055,71.2818173495206,,33.6875,32.46590909090909,6.798890058590715,2001.7733291993814,24.05090909090909,1.0
1533513600,06-08-18 08:00,100.81818181818181,28.545454545454547,129.36363636363637,122.81818181818181,48.18181818181818,171.0,126.0909090909091,53.18181818181818,179.27272727272728,122.45454545454545,49.27272727272727,171.72727272727272,111.0909090909091,41.36363636363637,152.45454545454547,101.45454545454545,47.0,148.45454545454547,123.9090909090909,47.81818181818182,171.72727272727272,23.899999618530273,92.05454462224787,24.399999618530273,69.33636474609375,23.79999923706055,71.2818173495206,,33.6875,32.46590909090909,6.798890058590715,2001.7733291993814,24.05090909090909,1.0
1533528000,06-08-18 12:00,100.81818181818181,28.545454545454547,129.36363636363637,122.81818181818181,48.18181818181818,171.0,126.0909090909091,53.18181818181818,179.27272727272728,122.45454545454545,49.27272727272727,171.72727272727272,111.0909090909091,41.36363636363637,152.45454545454547,101.45454545454545,47.0,148.45454545454547,123.9090909090909,47.81818181818182,171.72727272727272,23.899999618530273,92.05454462224787,24.399999618530273,69.33636474609375,23.79999923706055,71.2818173495206,,33.6875,32.46590909090909,6.798890058590715,2001.7733291993814,24.05090909090909,1.0
1533542400,06-08-18 16:00,100.81818181818181,28.545454545454547,129.36363636363637,122.81818181818181,48.18181818181818,171.0,126.0909090909091,53.18181818181818,179.27272727272728,122.45454545454545,49.27272727272727,171.72727272727272,111.0909090909091,41.36363636363637,152.45454545454547,101.45454545454545,47.0,148.45454545454547,123.9090909090909,47.81818181818182,171.72727272727272,23.899999618530273,92.05454462224787,24.399999618530273,69.33636474609375,23.79999923706055,71.2818173495206,,33.6875,32.46590909090909,6.798890058590715,2001.7733291993814,24.05090909090909,1.0
1533556800,06-08-18 20:00,99.18181818181819,29.0,128.1818181818182,1.0,1.0,2.0,123.81818181818181,53.72727272727273,177.54545454545453,121.0909090909091,49.54545454545455,170.63636363636363,0.0,0.0,0.0,100.72727272727273,47.81818181818182,148.54545454545453,0.0,0.0,0.0,24.399999618530273,85.42727175625888,24.954545281150125,59.38181894475763,24.290908466685902,64.14545475352894,,34.5,22.6875,6.764900961069016,1746.3121421595272,24.613545454545456,1.0
1533571200,07-08-18 00:00,101.18181818181819,27.727272727272727,128.9090909090909,1.0,1.0,2.0,125.9090909090909,52.54545454545455,178.45454545454547,123.45454545454545,48.81818181818182,172.27272727272728,0.0,0.0,0.0,102.81818181818181,46.45454545454545,149.27272727272728,0.0,0.0,0.0,23.92727297002619,87.16363594748758,24.190909298983488,61.14545371315696,23.690908952192828,65.12727217240767,,31.744318181818183,22.6875,6.757207646242739,1746.9023158392279,24.25,1.0
1533585600,07-08-18 04:00,100.0,28.09090909090909,128.0909090909091,1.0,1.0,2.0,123.63636363636364,53.54545454545455,177.1818181818182,120.45454545454545,49.54545454545455,170.0,0.0,0.0,0.0,101.0,47.0,148.0,0.0,0.0,0.0,24.16363698785955,85.98181915283203,24.70000076293945,60.12727251919833,24.045454718849875,63.854544552889735,,33.83522727272727,22.6875,6.733126060957724,1737.4781930156312,24.437,1.0
1533600000,07-08-18 08:00,99.0,28.0,127.0,1.0,1.0,2.0,123.5,52.833333333333336,176.33333333333334,120.41666666666667,48.416666666666664,168.83333333333334,0.0,0.0,0.0,100.91666666666667,46.166666666666664,147.08333333333334,0.0,0.0,0.0,23.75,86.1750005086263,24.233333587646484,61.249999364217125,23.700000286102295,64.40833346048991,,33.28125,22.6875,6.684711833288612,1751.6521517331157,24.051916666666667,1.0
